Title,Link
Feelie (Brave New World),https://en.wikipedia.org/wiki/Feelie_(Brave_New_World)
Sound film,https://en.wikipedia.org/wiki/Sound_film
Template talk:Did you know,https://en.wikipedia.org/wiki/Template_talk:Did_you_know
Protesters following the declaration of martial law,https://en.wikipedia.org/wiki/File:2024%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EA%B3%84%EC%97%84_%EB%B0%98%EB%8C%80_%EC%8B%9C%EC%9C%84%EB%8C%80_%EA%B9%83%EB%B0%9C.jpg
Yoon Suk Yeol,https://en.wikipedia.org/wiki/Yoon_Suk_Yeol
2024 South Korean martial law,https://en.wikipedia.org/wiki/2024_South_Korean_martial_law
National Assembly (South Korea),https://en.wikipedia.org/wiki/National_Assembly_(South_Korea)
Syrian opposition,https://en.wikipedia.org/wiki/Syrian_opposition
Battle of Aleppo (2024),https://en.wikipedia.org/wiki/Battle_of_Aleppo_(2024)
Northwestern Syria offensive (2024),https://en.wikipedia.org/wiki/Northwestern_Syria_offensive_(2024)
2024 Israel–Lebanon ceasefire agreement,https://en.wikipedia.org/wiki/2024_Israel%E2%80%93Lebanon_ceasefire_agreement
2024 Israeli invasion of Lebanon,https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon
Motorsport,https://en.wikipedia.org/wiki/Motorsport
Thierry Neuville,https://en.wikipedia.org/wiki/Thierry_Neuville
Martijn Wydaeghe,https://en.wikipedia.org/wiki/Martijn_Wydaeghe
2024 World Rally Championship,https://en.wikipedia.org/wiki/2024_World_Rally_Championship
Israel–Hamas war,https://en.wikipedia.org/wiki/Israel%E2%80%93Hamas_war
2024 Israeli invasion of Lebanon,https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
Timeline of the Russian invasion of Ukraine (1 August 2024 – present),https://en.wikipedia.org/wiki/Timeline_of_the_Russian_invasion_of_Ukraine_(1_August_2024_%E2%80%93_present)
Sudanese civil war (2023–present),https://en.wikipedia.org/wiki/Sudanese_civil_war_(2023%E2%80%93present)
Timeline of the Sudanese civil war (2024),https://en.wikipedia.org/wiki/Timeline_of_the_Sudanese_civil_war_(2024)
Deaths in 2024,https://en.wikipedia.org/wiki/Deaths_in_2024
John Stanley Pottinger,https://en.wikipedia.org/wiki/John_Stanley_Pottinger
Silvia Pinal,https://en.wikipedia.org/wiki/Silvia_Pinal
Terry Griffiths,https://en.wikipedia.org/wiki/Terry_Griffiths
Tom Hughes (Australian politician),https://en.wikipedia.org/wiki/Tom_Hughes_(Australian_politician)
Peggy Caserta,https://en.wikipedia.org/wiki/Peggy_Caserta
Siegfried Thiele,https://en.wikipedia.org/wiki/Siegfried_Thiele
December 4,https://en.wikipedia.org/wiki/December_4
Navy Day (India),https://en.wikipedia.org/wiki/Navy_Day_(India)
2004 transit of Venus,https://en.wikipedia.org/wiki/File:Venustransit_2004-06-08_07-49.jpg
1639,https://en.wikipedia.org/wiki/1639
Jeremiah Horrocks,https://en.wikipedia.org/wiki/Jeremiah_Horrocks
William Crabtree,https://en.wikipedia.org/wiki/William_Crabtree
1639 transit of Venus,https://en.wikipedia.org/wiki/1639_transit_of_Venus
Transit of Venus,https://en.wikipedia.org/wiki/Transit_of_Venus
1872,https://en.wikipedia.org/wiki/1872
Brigantine,https://en.wikipedia.org/wiki/Brigantine
Mary Celeste,https://en.wikipedia.org/wiki/Mary_Celeste
1971,https://en.wikipedia.org/wiki/1971
Indo-Pakistani war of 1971,https://en.wikipedia.org/wiki/Indo-Pakistani_war_of_1971
Indian Navy,https://en.wikipedia.org/wiki/Indian_Navy
Operation Trident (1971),https://en.wikipedia.org/wiki/Operation_Trident_(1971)
Pakistan Navy,https://en.wikipedia.org/wiki/Pakistan_Navy
Karachi,https://en.wikipedia.org/wiki/Karachi
1980,https://en.wikipedia.org/wiki/1980
Led Zeppelin,https://en.wikipedia.org/wiki/Led_Zeppelin
2006,https://en.wikipedia.org/wiki/2006
Jena Six,https://en.wikipedia.org/wiki/Jena_Six
"Jena, Louisiana","https://en.wikipedia.org/wiki/Jena,_Louisiana"
Cause célèbre,https://en.wikipedia.org/wiki/Cause_c%C3%A9l%C3%A8bre
Maerten de Vos,https://en.wikipedia.org/wiki/Maerten_de_Vos
Agnes Forbes Blackadder,https://en.wikipedia.org/wiki/Agnes_Forbes_Blackadder
Inder Kumar Gujral,https://en.wikipedia.org/wiki/Inder_Kumar_Gujral
Benjamin Britten,https://en.wikipedia.org/wiki/Benjamin_Britten
December 3,https://en.wikipedia.org/wiki/December_3
December 4,https://en.wikipedia.org/wiki/December_4
December 5,https://en.wikipedia.org/wiki/December_5
List of days of the year,https://en.wikipedia.org/wiki/List_of_days_of_the_year
Cinnamon teal,https://en.wikipedia.org/wiki/File:Sarcelle_cannelle_(Spatula_cyanoptera).jpg
Cinnamon teal,https://en.wikipedia.org/wiki/Cinnamon_teal
Anatinae,https://en.wikipedia.org/wiki/Anatinae
Mollusca,https://en.wikipedia.org/wiki/Mollusca
Insect,https://en.wikipedia.org/wiki/Insect
Crécy-la-Chapelle,https://en.wikipedia.org/wiki/Cr%C3%A9cy-la-Chapelle
User:Clément Bardot,https://en.wikipedia.org/wiki/User:Cl%C3%A9ment_Bardot
Template:POTD/2024-12-03,https://en.wikipedia.org/wiki/Template:POTD/2024-12-03
Template:POTD/2024-12-02,https://en.wikipedia.org/wiki/Template:POTD/2024-12-02
Template:POTD/2024-12-01,https://en.wikipedia.org/wiki/Template:POTD/2024-12-01
Wikimedia Foundation,https://en.wikipedia.org/wiki/Wikimedia_Foundation
